"","rowid","pl_hostname","pl_letter","pl_discmethod","pl_pnum","pl_orbper","pl_orbsmax","pl_orbeccen","pl_orbincl","pl_ttvflag","pl_kepflag","pl_k2flag","ra_str","ra","dec_str","dec","st_dist","st_teff","st_mass","st_rad","rowupdate","pl_name","pl_rvamp","pl_eqt","pl_insol","pl_bmassprov","pl_bmassj","pl_bmasse","pl_dens","pl_radj","pl_rade","pl_rads","pl_def_reflink","pl_disc","pl_disc_reflink","pl_locale","pl_facility","pl_telescope","pl_instrument","st_rah","st_glon","st_glat","st_elon","st_elat","st_plx","st_radv","st_sp","st_spstr","st_age"
"263",263,"HD 106906","b","Imaging",1,NA,650,NA,NA,0,0,0,"12h17m53.19s",184.471634,"-55d58m31.9s",-55.975525,91.83,6516,1.5,NA,"14/5/14","HD 106906 b",NA,1800,NA,"Mass",11,3496,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...780L...4B target=ref> Bailey et al. 2014 </a>",2013,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...780L...4B target=ref> Bailey et al. 2014 </a>","Ground","Las Campanas Observatory","6.5 m Magellan II Clay Telescope","Clio2 Camera",12.29810893,298.218878,6.588967,213.533835,-47.992283,10.89,11.1,3.5,"F5 V",0.013
"312",312,"HD 131399 A","b","Imaging",1,200887.5,82,0.35,40,0,0,0,"14h54m25.31s",223.605453,"-34d08m34.0s",-34.142788,98,9300,1.82,NA,"16/7/18","HD 131399 A b",NA,850,NA,"Mass",4,1271.32,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2016arXiv160702525W target=ref>Wagner et al. 2016</a>",2016,"<a href=http://adsabs.harvard.edu/abs/2016arXiv160702525W target=ref>Wagner et al. 2016</a>","Ground","Paranal Observatory","8.2 m ESO VLT UT3 Melipal Telescope","SPHERE",14.90703023,330.116033,22.156274,231.259545,-16.731458,NA,NA,2.1,"A1 V",NA
"453",453,"HD 203030","b","Imaging",1,NA,487.1,NA,NA,0,0,0,"21h18m58.22s",319.742584,"+26d13m50.0s",26.230545,40.85,NA,NA,NA,"14/5/14","HD 203030 b",NA,1206,NA,"Mass",24.09,7656.097,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...651.1166M target=ref> Metchev & Hillenbrand 2006 </a>",2006,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...651.1166M target=ref> Metchev & Hillenbrand 2006 </a>","Ground","Palomar Observatory","5.1 m Hale Telescope","PHARO Camera",21.31617228,74.613581,-16.117743,332.521651,39.501218,24.48,-17,4.8,"G8 V",0.22
"665",665,"HD 95086","b","Imaging",1,NA,55.7,NA,NA,0,0,0,"10h57m03.02s",164.262589,"-68d40m02.4s",-68.667343,91.57,NA,1.6,NA,"14/5/14","HD 95086 b",NA,1000,NA,"Mass",5,1589,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2013ApJ...779L..26R target=ref> Rameau et al. 2013 </a>",2013,"<a href=http://adsabs.harvard.edu/abs/2013ApJ...772L..15R target=ref> Rameau et al. 2013 </a>","Ground","Paranal Observatory","8.2 m ESO VLT UT4 Yepun Telescope","NACO Camera",10.95083923,292.802924,-8.075282,218.64784,-63.363381,10.92,NA,2.8,"A8 III",0.017
"707",707,"HIP 78530","b","Imaging",1,NA,740,NA,NA,0,0,1,"16h01m55.46s",240.481064,"-21d58m49.4s",-21.980389,156.7,10500,2.5,NA,"15/4/1","HIP 78530 b",NA,2700,NA,"Mass",23,7300,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...802...61L target=ref>Lachapelle et al. 2015</a>",2010,"<a href=http://adsabs.harvard.edu/abs/2011ApJ...730...42L target=ref> Lafreni&egrave;re et al. 2011 </a>","Ground","Gemini Observatory","8.19 m Gemini North Telescope","NIRI Camera",16.03207092,350.870628,22.681059,242.805542,-1.284748,NA,NA,1.9,"B9 V",0.005
"712",712,"HN Peg","b","Imaging",1,NA,773,NA,NA,0,0,0,"21h44m31.33s",326.130554,"+14d46m19.0s",14.771939,18.39,NA,NA,NA,"14/5/14","HN Peg b",NA,NA,NA,"Mass",21.9987,6991.57,NA,1.051,11.777,0.108,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007ApJ...654..570L target=ref> Luhman et al. 2007 </a>",2006,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007ApJ...654..570L target=ref> Luhman et al. 2007 </a>","Space","Spitzer Space Telescope","0.85 m Spitzer Space Telescope","IRAC Infrared Array Camera",21.74203695,69.859355,-28.269284,333.918834,26.633875,54.37,-17.2,4,"G0 IV-V",NA
"713",713,"HR 2562","b","Imaging",1,NA,20.3,NA,NA,0,0,0,"06h50m01.01s",102.504227,"-60d14m56.9s",-60.249146,33.63,NA,1.3,NA,"16/9/8","HR 2562 b",NA,1200,NA,"Mass",30,9534.9,NA,1.11,12.442,0.114,"<a href=http://adsabs.harvard.edu/abs/2016arXiv160806660K target=ref>Konopacky et al. 2016</a>",2016,"<a href=http://adsabs.harvard.edu/abs/2016arXiv160806660K target=ref>Konopacky et al. 2016</a>","Ground","Gemini Observatory","8.19 m Gemini South Telescope","Gemini Planet Imager",6.83361511,270.175773,-23.491796,137.301908,-81.593885,NA,22.2,3.5,"F5 V",0.6
"715",715,"HR 8799","b","Imaging",4,170000,68,NA,NA,0,0,0,"23h07m28.72s",346.869659,"+21d08m03.3s",21.134251,39.4,NA,1.51,NA,"14/5/14","HR 8799 b",NA,NA,NA,"Mass",7,2000,NA,1.2,13,0.12,"<a href=http://adsabs.harvard.edu/abs/2008Sci...322.1348M target=ref> Marois et al. 2008 </a>",2008,"<a href=http://adsabs.harvard.edu/abs/2008Sci...322.1348M target=ref> Marois et al. 2008 </a>","Ground","Gemini Observatory","8.19 m Gemini North Telescope","NIRI Camera",23.12464396,92.764215,-35.575078,356.787566,24.524745,NA,NA,3.02,"F0+ V ({lambda} Boo)...",NA
"716",716,"HR 8799","c","Imaging",4,69000,38,NA,NA,0,0,0,"23h07m28.72s",346.869659,"+21d08m03.3s",21.134251,39.4,NA,1.51,NA,"14/5/14","HR 8799 c",NA,NA,NA,"Mass",10,3000,NA,1.2,13,0.12,"<a href=http://adsabs.harvard.edu/abs/2008Sci...322.1348M target=ref> Marois et al. 2008 </a>",2008,"<a href=http://adsabs.harvard.edu/abs/2008Sci...322.1348M target=ref> Marois et al. 2008 </a>","Ground","Gemini Observatory","8.19 m Gemini North Telescope","NIRI Camera",23.12464396,92.764215,-35.575078,356.787566,24.524745,NA,NA,3.02,"F0+ V ({lambda} Boo)...",NA
"717",717,"HR 8799","d","Imaging",4,37000,24,NA,NA,0,0,0,"23h07m28.72s",346.869659,"+21d08m03.3s",21.134251,39.4,NA,1.51,NA,"14/5/14","HR 8799 d",NA,NA,NA,"Mass",10,3000,NA,1.2,13,0.12,"<a href=http://adsabs.harvard.edu/abs/2008Sci...322.1348M target=ref> Marois et al. 2008 </a>",2008,"<a href=http://adsabs.harvard.edu/abs/2008Sci...322.1348M target=ref> Marois et al. 2008 </a>","Ground","W. M. Keck Observatory","10 m Keck II Telescope","NIRC2 Camera",23.12464396,92.764215,-35.575078,356.787566,24.524745,NA,NA,3.02,"F0+ V ({lambda} Boo)...",NA
