"","rowid","pl_hostname","pl_letter","pl_discmethod","pl_pnum","pl_orbper","pl_orbsmax","pl_orbeccen","pl_orbincl","pl_ttvflag","pl_kepflag","pl_k2flag","ra_str","ra","dec_str","dec","st_dist","st_teff","st_mass","st_rad","rowupdate","pl_name","pl_rvamp","pl_eqt","pl_insol","pl_bmassprov","pl_bmassj","pl_bmasse","pl_dens","pl_radj","pl_rade","pl_rads","pl_def_reflink","pl_disc","pl_disc_reflink","pl_locale","pl_facility","pl_telescope","pl_instrument","st_rah","st_glon","st_glat","st_elon","st_elat","st_plx","st_radv","st_sp","st_spstr","st_age"
"108",108,"GJ 163","d","Radial Velocity",3,603,1,0.41,NA,0,0,0,"04h09m15.67s",62.315273,"-53d22m25.3s",-53.373699,14.97,3500,0.4,NA,"14/5/14","GJ 163 d",3.82,NA,NA,"Msini",0.079,25,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2013A%26A...556A.110B target=ref> Bonfils et al. 2013 </a>",2013,"<a href=http://adsabs.harvard.edu/abs/2013A%26A...556A.110B target=ref> Bonfils et al. 2013 </a>","Ground","La Silla Observatory","3.6 m ESO Telescope","HARPS Spectrograph",4.15435155,262.781877,-45.323559,30.835617,-71.166855,66.82,58.6,6.35,"M3.5 V",6
"109",109,"GJ 179","b","Radial Velocity",1,2288,2.41,0.21,NA,0,0,0,"04h52m05.73s",73.023865,"+06d28m35.5s",6.476539,12.12,3370,0.36,0.38,"14/5/14","GJ 179 b",25.8,NA,NA,"Msini",0.82,260.61,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2010ApJ...721.1467H target=ref> Howard et al. 2010 </a>",2009,"<a href=http://adsabs.harvard.edu/abs/2010ApJ...721.1467H target=ref> Howard et al. 2010 </a>","Ground","W. M. Keck Observatory","10 m Keck I Telescope","HIRES Spectrometer",4.86825765,192.22585,-22.862487,72.440162,-15.933888,82.52,NA,6.35,"M3.5 V",NA
"110",110,"GJ 3021","b","Radial Velocity",1,133.71,0.49,0.511,NA,0,0,0,"00h16m12.68s",4.052823,"-79d51m04.3s",-79.851181,17.62,5540,0.9,0.9,"14/5/14","GJ 3021 b",167,350,NA,"Msini",3.37,1071.04,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2001A&A...375..205N target=ref> Naef et al. 2001 </a>",2000,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2001A&A...375..205N target=ref> Naef et al. 2001 </a>","Ground","La Silla Observatory","1.2 m Leonhard Euler Telescope","CORALIE Spectrograph",0.2701882,304.871337,-37.144007,294.815071,-65.241399,56.76,-5.81,4.6,"G6 V",NA
"111",111,"GJ 317","b","Radial Velocity",1,692,1.15,0.11,45,0,0,0,"08h40m59.22s",130.24673,"-23d27m22.6s",-23.456289,15.1,3510,0.42,NA,"14/8/27","GJ 317 b",75.2,NA,NA,"Mass",2.5,794.5,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2012ApJ...746...37A target=ref> Anglada-Escud&eacute; et al. 2012 </a>",2007,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007ApJ...670..833J target=ref> Johnson et al. 2007 </a>","Ground","W. M. Keck Observatory","10 m Keck I Telescope","HIRES Spectrometer",8.68311535,246.799424,11.189983,140.75966,-40.070149,65.3,87.8,6.25,"M2.5 V",5
"112",112,"GJ 328","b","Radial Velocity",1,4100,4.5,0.37,NA,0,0,0,"08h55m07.62s",133.781754,"+01d32m47.4s",1.546508,20.03,3900,0.69,NA,"14/5/14","GJ 328 b",40,NA,NA,"Msini",2.3,731,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2013ApJ...774..147R target=ref> Robertson et al. 2013 </a>",2013,"<a href=http://adsabs.harvard.edu/abs/2013ApJ...774..147R target=ref> Robertson et al. 2013 </a>","Ground","McDonald Observatory","9.2 m Hobby-Eberly Telescope","High Resolution Spectrograph",8.91878357,226.70542,28.000745,135.787777,-15.207852,49.92,NA,6.1,"M1",NA
"113",113,"GJ 3293","b","Radial Velocity",2,30.6,0.1434,0.07,NA,0,0,0,"04h28m35.72s",67.14882,"-25d10m09.5s",-25.169301,NA,3466,0.42,0.4,"14/12/3","GJ 3293 b",9.6,NA,NA,"Msini",0.081,25.72,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...575A.119A target=ref>Astudillo-Defru et al. 2015</a>",2015,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...575A.119A target=ref>Astudillo-Defru et al. 2015</a>","Ground","La Silla Observatory","3.6 m ESO Telescope","HARPS Spectrograph",4.47658798,223.539019,-41.612063,59.472876,-46.21616,55,13.3,6.25,"M2.5",NA
"114",114,"GJ 3293","c","Radial Velocity",2,123.75,0.364,0.33,NA,0,0,0,"04h28m35.72s",67.14882,"-25d10m09.5s",-25.169301,NA,3466,0.42,0.4,"14/12/3","GJ 3293 c",6.4,NA,NA,"Msini",0.081,25.72,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...575A.119A target=ref>Astudillo-Defru et al. 2015</a>",2015,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...575A.119A target=ref>Astudillo-Defru et al. 2015</a>","Ground","La Silla Observatory","3.6 m ESO Telescope","HARPS Spectrograph",4.47658798,223.539019,-41.612063,59.472876,-46.21616,55,13.3,6.25,"M2.5",NA
"115",115,"GJ 3341","b","Radial Velocity",1,14.207,0.089,0.31,NA,0,0,0,"05h15m46.72s",78.944663,"-31d17m45.4s",-31.295951,NA,3526,0.47,0.44,"14/12/3","GJ 3341 b",3.04,NA,NA,"Msini",0.0208,6.6,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...575A.119A target=ref>Astudillo-Defru et al. 2015</a>",2015,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...575A.119A target=ref>Astudillo-Defru et al. 2015</a>","Ground","La Silla Observatory","3.6 m ESO Telescope","HARPS Spectrograph",5.26297752,234.219884,-33.034901,73.767614,-54.114028,43.18,47.8,6.25,"M2.5",NA
"116",116,"GJ 3470","b","Radial Velocity",1,3.3366487,0.031,0.017,88.88,0,0,0,"07h59m05.84s",119.774349,"+15d23m29.4s",15.391492,25.2,3652,0.51,0.48,"14/7/23","GJ 3470 b",NA,604,NA,"Mass",0.043,13.73,1.18,0.346,3.88,0.036,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.443.1810B target=ref> Biddle et al. 2014</a>",2012,"<a href=http://adsabs.harvard.edu/abs/2012A%26A...546A..27B target=ref> Bonfils et al. 2012 </a>","Ground","La Silla Observatory","3.6 m ESO Telescope","HARPS Spectrograph",7.9849566,206.235418,21.757602,118.731056,-5.127428,NA,26.52,6.15,"M1.5",2.5
"117",117,"GJ 3634","b","Radial Velocity",1,2.64561,0.0287,0.08,59,0,0,0,"10h58m35.10s",164.646242,"-31d08m38.4s",-31.143989,19.8,NA,0.45,0.43,"14/8/21","GJ 3634 b",5.59,NA,NA,"Mass",0.026,8.4,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2011A%26A...528A.111B target=ref> Bonfils et al. 2011 </a>",2010,"<a href=http://adsabs.harvard.edu/abs/2011A%26A...528A.111B target=ref> Bonfils et al. 2011 </a>","Ground","La Silla Observatory","3.6 m ESO Telescope","HARPS Spectrograph",10.97641615,276.223405,25.810023,179.848028,-34.378377,50.55,5.19,6.25,"M2.5",5
