rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_eccen,koi_fittype,koi_prad,koi_incl,koi_teq,koi_insol,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,ra,dec
1199,4830605,K01660.01,,CANDIDATE,CANDIDATE,35.6362807,0,MCMC,2,89.38,537,19.62,1,5926,4.532,0.887,290.24103,39.96801
1200,4832197,K01661.01,,CANDIDATE,CANDIDATE,0.947732597,0,MCMC,52.74,63.6,2321,6862.81,1,6302,4.183,1.269,290.73804,39.919651
1202,12120943,K01458.01,,CANDIDATE,CANDIDATE,8.98128219,0,MCMC,7.6,89.38,897,153.36,1,5977,4.473,1.022,296.57153,50.677849
1207,7768451,K01527.01,,CANDIDATE,CANDIDATE,192.662987,0,MCMC,2.83,89.95,295,1.79,1,5734,4.527,0.861,296.6713,43.49839
1208,7691260,K01528.01,Kepler-882 b,CONFIRMED,CANDIDATE,3.989539666,0,MCMC,0.96,89.95,901,155.46,1,5208,4.641,0.693,294.6499,43.33559
1209,9821454,K01529.01,Kepler-59 c,CONFIRMED,CANDIDATE,17.9776157,0,MCMC,1.62,87.66,754,76.46,1,6305,4.458,1.011,287.03952,46.640129
1210,9821454,K01529.02,Kepler-59 b,CONFIRMED,CANDIDATE,11.8691507,0,MCMC,1.02,88.81,866,133.14,2,6305,4.458,1.011,287.03952,46.640129
1211,11954842,K01530.01,Kepler-883 b,CONFIRMED,CANDIDATE,12.98495573,0,MCMC,1.53,89.38,834,114.39,1,6212,4.411,0.945,286.43365,50.300331
1213,5470739,K01585.01,Kepler-899 b,CONFIRMED,CANDIDATE,19.17891293,0,MCMC,2.57,89.38,640,39.65,1,5767,4.538,0.881,297.48257,40.680779
1214,10022908,K01586.01,Kepler-900 b,CONFIRMED,CANDIDATE,6.9913086,0,MCMC,2.19,86.52,720,63.41,1,4848,4.598,0.769,296.17728,46.99902
1215,9932970,K01587.01,,CANDIDATE,CANDIDATE,52.9716597,0,MCMC,23.37,88.81,402,6.19,1,5204,4.55,0.789,281.61887,46.814201
1216,5617854,K01588.01,Kepler-901 b,CONFIRMED,CANDIDATE,3.517494394,0,MCMC,1.21,89.95,645,40.87,1,3916,4.747,0.51,291.15295,40.887489
1217,4932442,K01665.01,Kepler-923 b,CONFIRMED,CANDIDATE,6.93366476,0,MCMC,1.28,89.38,1054,291.47,1,6194,4.415,1.129,294.17108,40.055168
1218,4932442,K01665.02,,CANDIDATE,CANDIDATE,5.91393977,0,MCMC,1.07,89.95,1112,361,,6194,4.415,1.129,294.17108,40.055168
1219,5183357,K01669.01,Kepler-924 b,CONFIRMED,CANDIDATE,61.0370117,0,MCMC,2.5,88.24,509,15.81,1,6372,4.453,1.015,290.66852,40.39772
1220,5269467,K01672.01,Kepler-925 b,CONFIRMED,CANDIDATE,33.8678531,0,MCMC,2.26,89.38,394,5.69,1,4564,4.593,0.691,290.10654,40.490662
1221,5360920,K01675.01,,CANDIDATE,CANDIDATE,14.62404613,0,MCMC,15.7,85.94,687,52.63,1,5771,4.562,0.825,291.33719,40.558201
1222,7672940,K01463.01,,CANDIDATE,CANDIDATE,1064.268141,0,MCMC,33.75,89.95,281,1.47,,6340,3.833,2.173,288.25864,43.376465
1224,11702948,K01465.01,,CANDIDATE,CANDIDATE,9.771461688,0,MCMC,10.49,87.66,797,95.4,1,5804,4.553,0.85,286.14938,49.867512
1225,9512981,K01466.01,,CANDIDATE,CANDIDATE,281.5626054,0,MCMC,9.86,89.95,199,0.37,1,4769,4.635,0.674,284.84988,46.13895
1228,11764462,K01531.01,Kepler-884 b,CONFIRMED,CANDIDATE,5.69919514,0,MCMC,1.32,89.95,1089,332.54,1,6070,4.409,1.034,292.58444,49.923161
1229,11656246,K01532.01,Kepler-885 b,CONFIRMED,CANDIDATE,18.11472949,0,MCMC,2.41,86.52,864,131.8,1,6453,4.276,1.328,288.66156,49.737209
1230,7808587,K01533.01,Kepler-886 b,CONFIRMED,CANDIDATE,6.24146367,0,MCMC,1.36,89.38,1098,344.06,1,6334,4.42,1.037,286.27176,43.59523
1231,4741126,K01534.01,Kepler-887 b,CONFIRMED,CANDIDATE,20.42228798,0,MCMC,1.62,89.95,781,87.97,1,6422,4.369,1.173,290.09082,39.81699
1232,5301750,K01589.01,Kepler-84 b,CONFIRMED,CANDIDATE,8.72585936,0,MCMC,2.75,80.79,932,178.73,1,6028,4.421,1.022,298.25204,40.496078
1233,5301750,K01589.02,Kepler-84 c,CONFIRMED,CANDIDATE,12.88296485,0,MCMC,2.94,81.36,819,106.21,2,6028,4.421,1.022,298.25204,40.496078
1234,5301750,K01589.03,Kepler-84 e,CONFIRMED,CANDIDATE,27.4345883,0,MCMC,2.3,89.95,636,38.78,3,6028,4.421,1.022,298.25204,40.496078
1235,5301750,K01589.04,Kepler-84 d,CONFIRMED,CANDIDATE,4.22451369,0,MCMC,1.3,88.81,1188,470.83,5,6028,4.421,1.022,298.25204,40.496078
1236,5301750,K01589.05,Kepler-84 f,CONFIRMED,CANDIDATE,44.5518416,0,MCMC,2.08,89.38,541,20.31,4,6028,4.421,1.022,298.25204,40.496078
1237,5526717,K01677.01,Kepler-926 b,CONFIRMED,CANDIDATE,52.0688601,0,MCMC,1.82,89.95,440,8.84,1,5693,4.574,0.802,289.67935,40.700459
1238,5972334,K00191.02,,CANDIDATE,CANDIDATE,2.418405445,0,MCMC,2.79,78.5,1270,614.95,2,5700,4.515,0.87,295.28723,41.221958
1239,5526717,K01677.02,,CANDIDATE,CANDIDATE,8.51170088,,none,,,,,,,,,289.67935,40.700459
1241,5531953,K01681.01,,CANDIDATE,CANDIDATE,6.93911381,0,MCMC,0.99,89.95,436,8.57,1,3608,4.854,0.4,291.285,40.730049
1242,6034945,K01683.01,Kepler-927 b,CONFIRMED,CANDIDATE,9.1149903,0,MCMC,1.78,89.95,906,159.34,1,5962,4.431,1.028,289.38351,41.392689
1244,8692861,K00172.01,Kepler-69 b,CONFIRMED,CANDIDATE,13.72237104,0,MCMC,2.28,89.38,746,73.16,1,5637,4.399,0.943,293.26093,44.868889
1246,9480310,K01470.01,,CANDIDATE,CANDIDATE,15.4339775,0,MCMC,4.47,88.24,721,63.79,1,5900,4.509,0.951,297.35233,46.09594
1248,4741126,K01534.02,Kepler-887 c,CONFIRMED,CANDIDATE,7.63846023,0,MCMC,1.05,89.38,1084,326.45,2,6422,4.369,1.173,290.09082,39.81699
1249,11669125,K01535.01,Kepler-888 b,CONFIRMED,CANDIDATE,70.6979061,0,MCMC,2.26,89.95,505,15.33,1,6174,4.316,1.147,295.52121,49.738628
1250,12159249,K01536.01,Kepler-889 b,CONFIRMED,CANDIDATE,3.744439,0,MCMC,1.06,88.24,1295,665.48,1,5849,4.3,1.225,291.46732,50.75948
1251,9872292,K01537.01,,CANDIDATE,CANDIDATE,10.19154698,0,MCMC,1.52,85.37,1169,441.22,1,6260,4.047,1.824,281.46173,46.789894
1254,5542466,K01590.01,,CANDIDATE,CANDIDATE,12.89010472,0,MCMC,1.89,89.95,615,33.71,1,4962,4.536,0.767,294.36487,40.720879
1255,4178389,K00185.01,,CANDIDATE,CANDIDATE,23.21050986,0,MCMC,98.26,88.24,599,30.48,1,5885,4.564,0.818,296.18524,39.26268
1256,5542466,K01590.02,,CANDIDATE,CANDIDATE,2.355746434,0,MCMC,1.34,88.81,1083,325.79,2,4962,4.536,0.767,294.36487,40.720879
