"","rowid","pl_radj","pl_bmassj","pl_rade","pl_bmasse","pl_dens","pl_orbsmax","pl_eqt","st_age","pl_discmethod","cluster","density","mass_gr","radius_cm","volume_cm3"
"70",181,1.178,1.169,13.204,371.528,0.89,0.0379,1271,NA,"Transit",3,0.88686470530333,2218984110000000162660226868406,8421757600,2502054819332394225022642600668
"71",182,0.825,0.267,9.247,84.857,0.59,0.0523,1082,NA,"Transit",3,0.589695953236828,506816730000000013120200688624,5898090000,859454312375885480666660068042
"72",183,1.571,0.599,17.609,190.372,0.19,0.0509,1752,NA,"Transit",3,0.191591835904146,1137015810000000030248086682484,11231393200,5934573384269126708486806200628
"73",184,1.274,0.671,14.28,213.255,0.403,0.04438,1686,NA,"Transit",3,0.402432427087421,1273685490000000101860648468084,9108080800,3164967344252592116680204662808
"74",185,1.73,0.615,19.392,195.457,0.15,0.0608,1770,NA,"Transit",3,0.147304338496561,1167386849999999983602004260286,12368116000,7924999778789649570622604628622
"75",186,1.685,0.8,18.887,254.253,0.2,0.0426,1941,NA,"Transit",3,0.207381018519326,1518552000000000200646662866824,12046402000,7322521660093408351820222682484
"76",187,1.28,1.044,14.348,331.801,0.61,0.0575,1428,5.2,"Transit",3,0.617375401304697,1981710359999999981866862420240,9150976000,3209895236855987323402686068040
"77",188,1.281,0.662,14.359,210.395,0.39,0.0443,1361,5.7,"Transit",3,0.390561411790587,1256601780000000075204068486688,9158125200,3217424307841685533008842004840
"78",189,1.242,0.352,13.922,111.871,0.23,0.0507,1108,7.5,"Transit",3,0.227853974099719,668162879999999958804046228800,8879306400,2932417056318633460480260642488
"79",191,1.426,0.892,15.984,283.492,0.38,0.0452,1652,2,"Transit",3,0.381491626208672,1693185480000000002728882444622,10194759200,4438329346379536536842880000666
"80",192,1.284,0.493,14.392,156.684,0.28,0.0577,1458,2.5,"Transit",3,0.288822205371877,935807669999999952326642206800,9179572800,3240082142559258397440442048202
"81",193,1.413,1.73,15.838,549.823,0.75,0.0438,2131,1.5,"Transit",4,0.760498478176843,3283868699999999846204284844288,10101819600,4318047694023636657288824800444
"82",194,1.26,1.06,14.12,336.89,0.66,0.04075,NA,2.6,"Transit",3,0.657162785318182,2012081400000000216686684208068,9007992000,3061770150337711551884888846064
"83",195,1.288,1.35,14.437,429.0705,0.78,0.0453,1862,3.37,"Transit",3,0.783546745647067,2562556500000000039424442840486,9208169600,3270457715810936104202824406864
"84",196,1.293,0.309,14.493,98.20947,0.178,0.05069,1192,8.2,"Transit",3,0.177272609031763,586540709999999996204282840004,9243915600,3308693391514913368426662800064
"85",197,1.009,0.818,11.31,259.98494,0.98,0.03694,1218,9.4,"Transit",3,0.987548734271572,1552719419999999972264606424680,7213542800,1572296501544609750982664044088
