rowid,epic_candname,pl_name,k2c_disp,ra_str,ra,dec_str,dec,pl_orbper,pl_orbincl,pl_ratdor,pl_ratror,pl_rade,pl_radj,st_teff,st_logg,st_metfe,st_rad
73,EPIC 201505350.01,K2-19 c,CONFIRMED,11h39m50.48s,174.960319,+00d36m12.9s,0.603575,11.90724,,,4.44,4.93,0.44,5748,4.43,,1.01
74,EPIC 201505350.03,K2-19 d,CONFIRMED,11h39m50.48s,174.960319,+00d36m12.9s,0.603575,2.50858,,,1.1,1.22,0.109,5748,4.43,,1.01
79,EPIC 201505350.02,K2-19 b,CONFIRMED,11h39m50.48s,174.960319,+00d36m12.9s,0.603575,7.91952314,,,,,,,,,
82,EPIC 201512465.01,,CANDIDATE,11h34m15.10s,173.562932,+00d42m50.3s,0.713972,2.33293,,,12,3.2,0.29,3508,5.06,,0.22
84,EPIC 201516974.01,,CANDIDATE,11h37m15.48s,174.314486,+00d46m59.3s,0.783149,36.7099,82.6,6.9,0.0489,,,,,,
86,EPIC 201528215.01,,CANDIDATE,11h31m13.01s,172.804218,+00d57m30.9s,0.958577,6.3991398,,,0.01901,1.85,0.165,5210,,,0.8
87,EPIC 201534540.01,,CANDIDATE,11h26m36.28s,171.65117,+01d03m18.8s,1.055233,2.72273204,,,,,,,,,
88,EPIC 201546136.01,,CANDIDATE,11h16m35.30s,169.147063,+01d13m42.6s,1.228497,1.9668579,,,0.01764,1.51,0.135,5063,,,0.77
90,EPIC 201546283.01,K2-27 b,CONFIRMED,11h26m03.64s,171.515165,+01d13m50.7s,1.230738,6.77093147,,,,,,,,,
97,EPIC 201549860.01,K2-35 c,CONFIRMED,11h20m24.74s,170.103081,+01d17m09.4s,1.285956,5.60967748,,,,,,,,,
98,EPIC 201549860.02,K2-35 b,CONFIRMED,11h20m24.74s,170.103081,+01d17m09.4s,1.285956,2.39991,,,1.64,1.08,0.096,4426,4.7,,0.6
100,EPIC 201556134.01,,CANDIDATE,11h51m42.03s,177.925108,+01d22m46.7s,1.379641,12.726743,,,0.02141,1.91,0.17,4767,,,0.73
101,EPIC 201563164.01,,CANDIDATE,11h48m33.61s,177.140024,+01d28m59.3s,1.483144,0.18746328,,,0.1236,217,19.359,46696,,,17.27
102,EPIC 201565013.01,,CANDIDATE,11h47m58.13s,176.992193,+01d30m36.9s,1.510249,8.63829,,,14.08,6.81,0.608,3960,4.84,,0.44
106,EPIC 201569483.01,,CANDIDATE,11h08m41.11s,167.171299,+01d34m39.0s,1.577513,5.7968861,,,0.3232,24.2,2.159,4721,,,0.72
109,EPIC 201577035.01,K2-10 b,CONFIRMED,11h28m29.27s,172.121957,+01d41m26.3s,1.690636,19.292062,,,,,,,,,
111,EPIC 201577112.01,,CANDIDATE,11h50m50.14s,177.708932,+01d41m30.7s,1.691867,22.197992,,,0.112,5.34,0.476,3508,,,0.4
112,EPIC 201588420.01,,CANDIDATE,11h23m44.27s,170.934451,+01d51m50.3s,1.863959,3.2908998,,,0.01804,1.57,0.14,4671,,,0.72
114,EPIC 201596316.01,K2-11 b,CONFIRMED,11h16m10.08s,169.042002,+01d59m12.6s,1.98684,39.8478,,,2.66,2.42,0.216,5264,4.56,,0.83
117,EPIC 201596733.01,,CANDIDATE,11h22m42.98s,170.679099,+01d59m35.8s,1.993276,2.89607106,,,,,,,,,
118,EPIC 201606542.01,,CANDIDATE,11h21m14.85s,170.311881,+02d08m39.9s,2.144426,0.444372,86.9,8.3,0.0136,1.22,0.109,5540,4.81,0.03,0.82
121,EPIC 201613023.01,K2-12 b,CONFIRMED,11h32m46.09s,173.192036,+02d14m41.6s,2.244884,8.28176,,,1.87,2.72,0.243,6177,4.28,,1.31
125,EPIC 201617985.01,,CANDIDATE,11h57m58.00s,179.491659,+02d19m17.3s,2.321476,7.28138,,,41,17,1.5,3784,4.88,,0.4
126,EPIC 201626686.01,,CANDIDATE,11h17m47.30s,169.447103,+02d27m21.6s,2.456006,5.28130579,,,,,,,,,
129,EPIC 201629650.01,K2-13 b,CONFIRMED,11h20m37.33s,170.155528,+02d30m09.7s,2.502696,40.0603,,,2.26,2.7,0.241,5727,4.33,,1.09
131,EPIC 201635569.01,K2-14 b,CONFIRMED,11h52m13.69s,178.057026,+02d35m39.3s,2.594245,8.36926,,,10.66,4.48,0.4,3866,4.89,,0.39
135,EPIC 201637175.01,K2-22 b,CONFIRMED,11h17m55.88s,169.482818,+02d37m08.7s,2.61907,1.143201,,,7.1,3,0.268,3865,4.89,,0.38
136,EPIC 201637175.01,HATS-14 b,CONFIRMED,11h17m55.88s,169.482818,+02d37m08.7s,2.61907,0.38107852,,,0.07119,4.61,0.411,3892,,,0.57
137,EPIC 201647718.01,K2-47 b,CONFIRMED,11h14m19.82s,168.582603,+02d46m50.6s,2.780711,31.6372,,,2.29,1.89,0.169,5054,4.54,,0.76
140,EPIC 201649426.01,,CANDIDATE,11h48m56.22s,177.234262,+02d48m27.4s,2.807619,27.770388,,,0.3722,25.1,2.239,4598,,,0.71
142,EPIC 201650711.01,,CANDIDATE,11h28m10.57s,172.044052,+02d49m36.8s,2.826891,0.259669,82.1,3.1,0.0102,0.77,0.069,4340,4.25,-0.81,0.69
143,EPIC 201677835.01,K2-48 b,CONFIRMED,11h44m29.65s,176.123545,+03d16m20.7s,3.272425,20.5065,,,2.8,2.24,0.2,4899,4.6,,0.73
145,EPIC 201683540.01,,CANDIDATE,11h16m51.59s,169.214964,+03d21m49.9s,3.363874,1.9611469,,,0.08768,5.93,0.529,4166,,,0.64
146,EPIC 201690311.01,K2-49 b,CONFIRMED,11h49m16.85s,177.320206,+03d28m32.0s,3.475569,2.77065,,,3.83,1.93,0.172,4175,4.81,,0.45
149,EPIC 201702477.01,,CANDIDATE,11h40m57.79s,175.240794,+03d40m53.7s,3.681584,40.7302,,,7.19,7.8,0.7,5840,4.44,,0.98
150,EPIC 201705526.01,,CANDIDATE,11h29m32.59s,172.385808,+03d43m55.6s,3.732106,18.10220826,,,,,,,,,
154,EPIC 201713348.02,K2-36 b,CONFIRMED,11h17m47.78s,169.449073,+03d51m59.0s,3.866393,1.422647,,,1.76,1.45,0.129,4953,4.6,,0.75
155,EPIC 201713348.01,K2-36 c,CONFIRMED,11h17m47.78s,169.449073,+03d51m59.0s,3.866393,5.34107237,,,,,,,,,
156,EPIC 201717159.01,,CANDIDATE,11h53m44.76s,178.436482,+03d55m55.9s,3.932202,0.60408352,,,0.02829,2.26,0.202,4331,,,0.67
158,EPIC 201717274.01,,CANDIDATE,11h35m18.66s,173.827767,+03d56m03.0s,3.934155,3.52743,,,3.89,1.11,0.099,3624,5.01,,0.26
160,EPIC 201736247.01,K2-15 b,CONFIRMED,11h52m26.59s,178.110797,+04d15m17.1s,4.254747,11.8097,,,3.3,2.84,0.253,5314,4.57,,0.78
163,EPIC 201754305.01,K2-16 c,CONFIRMED,11h40m23.34s,175.097258,+04d33m26.4s,4.55734,19.077,,,2.99,2.19,0.195,4800,4.63,,0.67
164,EPIC 201754305.02,K2-16 b,CONFIRMED,11h40m23.34s,175.097258,+04d33m26.4s,4.55734,7.61856,,,2.68,1.96,0.175,4800,4.63,,0.67
168,EPIC 201779067.01,,CANDIDATE,11h14m10.25s,168.542699,+04d59m17.3s,4.988131,27.27048734,,,,,,,,,
172,EPIC 201785059.01,,CANDIDATE,11h22m47.44s,170.697657,+05d05m43.3s,5.095361,1.39533316,,,,,,,,,
173,EPIC 201828749.01,,CANDIDATE,11h42m37.04s,175.654342,+05d53m39.6s,5.894323,33.5107,,,2.173,2.14,0.191,5683,4.5,,0.9
177,EPIC 201833600.01,K2-50 b,CONFIRMED,11h17m56.07s,169.483631,+05d59m18.2s,5.988378,8.7529,,,2.64,1.59,0.142,4326,4.74,,0.55
178,EPIC 201841433.01,,CANDIDATE,11h40m49.63s,175.206771,+06d08m05.5s,6.134857,12.339133,,,0.02881,2.59,0.231,4751,,,0.73
179,EPIC 201855371.01,K2-17 b,CONFIRMED,11h53m19.15s,178.329775,+06d24m44.1s,6.412261,17.9654,,,2.9,1.53,0.136,4102,4.8,,0.48
183,EPIC 201862715.01,WASP-85 A b,CONFIRMED,11h43m38.01s,175.90838,+06d33m49.4s,6.563726,2.65662719,,,,,,,,,
188,EPIC 201912552.01,K2-18 b,CONFIRMED,11h30m14.51s,172.56046,+07d35m18.2s,7.588391,32.92801934,,,,,,,,,
191,EPIC 201920032.01,,CANDIDATE,11h36m25.66s,174.106908,+07d45m11.2s,7.753113,28.2692,,,2.36,3.35,0.299,5631,4.2,,1.29
192,EPIC 201923289.01,,CANDIDATE,11h39m40.93s,174.920526,+07d49m33.2s,7.825885,0.78214992,,,0.01346,1.29,0.115,5144,,,0.79
193,EPIC 201927336.01,,CANDIDATE,11h23m44.16s,170.933987,+07d55m01.5s,7.917097,6.4498648,,,0.0257,2.63,0.235,5395,,,0.85
198,EPIC 202064253.01,,CANDIDATE,06h06m01.02s,91.50423,+22d53m30.3s,22.89176,21.140574,,,0.2499,31.5,2.81,6205,,,1.29
199,EPIC 202066192.01,,CANDIDATE,06h20m59.39s,95.24745,+26d07m31.4s,26.12538,3.2923818,,,0.1053,19.6,1.749,7824,,,1.87
200,EPIC 202066537.01,,CANDIDATE,06h57m03.85s,104.26603,+18d37m36.3s,18.62674,6.90487,,,34,53,4.7,6599,4.24,,1.45
202,EPIC 202071289.01,,CANDIDATE,06h20m43.94s,95.18309,+24d54m15.6s,24.90434,3.04622,,,30,29,2.6,5529,4.5,,0.89
205,EPIC 202071401.01,,CANDIDATE,06h41m30.71s,100.37797,+20d55m22.1s,20.92281,3.2367,,,1.96,1.58,0.141,4863,4.6,,0.74
206,EPIC 202071635.01,,CANDIDATE,06h14m17.23s,93.57181,+18d37m37.3s,18.62702,6.2719092,,,0.3733,60,5.353,7254,,,1.81
208,EPIC 202072596.01,,CANDIDATE,06h38m02.58s,99.51074,+20d56m21.5s,20.93931,3.979287,,,0.2167,37.5,3.346,7430,,,1.84
209,EPIC 202072965.01,,CANDIDATE,06h26m23.89s,96.59956,+27d56m44.2s,27.9456,2.1417519,,,0.5571,86.2,7.69,6492,,,1.59
211,EPIC 202083828.01,K2-26 b,CONFIRMED,06h16m49.58s,94.20658,+24d35m47.1s,24.59641,14.5662,,,4.59,2.58,0.23,3769,4.75,,0.51
212,EPIC 202086291.01,,CANDIDATE,06h17m47.92s,94.44968,+25d36m09.3s,25.60257,2.4343734,,,0.6393,61.4,5.478,5568,,,0.9
213,EPIC 202086968.01,,CANDIDATE,06h28m01.35s,97.00563,+16d23m19.9s,16.38885,1.8490876,,,0.2448,17.3,1.543,5693,,,0.96
214,EPIC 202088212.01,,CANDIDATE,06h22m33.91s,95.6413,+14d44m30.4s,14.74177,2.62077,,,40,58,5.2,6302,4.23,,1.4
216,EPIC 202089657.01,,CANDIDATE,06h05m48.85s,91.45355,+23d29m04.3s,23.48454,1.3144014,,,0.01995,2.78,0.248,6137,,,1.23
217,EPIC 202090152.01,,CANDIDATE,06h44m19.00s,101.07915,+28d06m48.9s,28.11358,4.8045244,,,0.02388,3.62,0.323,6187,,,1.28
218,EPIC 202091388.01,,CANDIDATE,06h05m27.31s,91.36378,+21d15m21.7s,21.25603,6.4804111,,,0.03274,3.39,0.302,5537,,,0.89
219,EPIC 202092480.01,,CANDIDATE,06h52m12.54s,103.05227,+25d20m20.7s,25.33909,2.8445331,,,0.5768,65.3,5.826,6045,,,1.16
220,EPIC 202093020.01,,CANDIDATE,06h33m05.84s,98.27432,+16d52m12.9s,16.87024,4.1376047,,,0.0959,7.33,0.654,4581,,,0.7
221,EPIC 202094740.01,,CANDIDATE,06h41m51.15s,100.46312,+27d05m49.9s,27.0972,0.689647,78,3.1,0.0558,6.58,0.587,6481,4,0,1.08
222,EPIC 202126847.01,,CANDIDATE,06h48m48.31s,102.2013,+17d09m42.9s,17.16191,4.1687922,,,0.1802,16.1,1.436,6005,,,1.14
225,EPIC 202126852.01,HAT-P-56 b,CONFIRMED,,,,,2.790963,,,8.41,17,1.52,6863,4.08,,1.88
232,EPIC 202565282.01,,CANDIDATE,16h29m42.25s,247.426053,-29d12m06.2s,-29.201726,11.97495,,,76,256,22.8,5200,3.32,,3.4
233,EPIC 202634963.01,,CANDIDATE,16h11m35.50s,242.897897,-28d56m04.7s,-28.934636,28.707623,,,0.2136,21.2,1.891,5838,,,1.03
234,EPIC 202675839.01,,CANDIDATE,16h15m22.10s,243.842095,-28d46m48.6s,-28.780161,15.4715,,,4.4,9.2,0.82,5791,4,,1.89
236,EPIC 202688980.01,,CANDIDATE,16h16m52.99s,244.220774,-28d43m49.2s,-28.730322,1.4556637,,,,,,,,,
237,EPIC 202710713.01,,CANDIDATE,16h16m16.06s,244.066902,-28d38m56.9s,-28.649133,3.32592848,,,,,,,,,
239,EPIC 202821899.01,,CANDIDATE,16h36m38.40s,249.160014,-28d14m20.6s,-28.239061,4.4743465,,,0.03229,3.06,0.273,5248,,,0.81
240,EPIC 202843107.01,,CANDIDATE,16h22m11.47s,245.547787,-28d09m42.6s,-28.161823,2.1989041,,,0.6032,46.6,4.157,4938,,,0.75
241,EPIC 202893157.01,,CANDIDATE,16h26m14.20s,246.559179,-27d58m59.1s,-27.983086,4.1657292,,,0.05024,1.86,0.166,3442,,,0.36
243,EPIC 202900527.01,K2-51 b,CONFIRMED,16h27m14.68s,246.81115,-27d57m25.4s,-27.957049,13.0106,,,8.53,12.9,1.15,5452,4.17,,1.37
244,EPIC 203070421.01,,CANDIDATE,16h41m48.75s,250.453119,-27d21m39.7s,-27.361034,1.7359447,,,0.02551,1.89,0.169,5354,,,0.84
245,EPIC 203099398.01,,CANDIDATE,16h15m15.13s,243.813044,-27d15m42.0s,-27.261664,1.8389349,,,0.01201,0.837,0.075,3930,,,0.58
246,EPIC 203294831.01,,CANDIDATE,15h59m31.01s,239.87921,-26d36m15.7s,-26.604367,1.85872487,,,,,,,,,
250,EPIC 203518244.01,,CANDIDATE,16h16m39.10s,244.162914,-25d52m12.2s,-25.870046,0.8411257,,,0.01098,0.884,0.079,4289,,,0.66
251,EPIC 203533312.01,,CANDIDATE,16h15m49.29s,243.955378,-25d49m06.5s,-25.818471,0.17566,76.6,1.7,0.0248,3.11,0.277,6620,4.19,0.09,1.15
252,EPIC 203560204.01,,CANDIDATE,16h02m44.48s,240.68535,-25d43m32.3s,-25.725641,29.33873041,,,,,,,,,
254,EPIC 203623230.01,,CANDIDATE,16h48m53.36s,252.222342,-25d30m28.6s,-25.507932,2.54427583,,,,,,,,,
257,EPIC 203753577.01,,CANDIDATE,16h51m26.84s,252.86184,-25d03m12.3s,-25.053403,3.4007758,,,0.06863,5.57,0.497,5520,,,0.89
258,EPIC 203771098.01,K2-24 c,CONFIRMED,16h10m17.69s,242.573719,-24d59m25.2s,-24.990331,42.36301,,,5.913,9.8,0.87,5717,4.16,,1.51
260,EPIC 203771098.02,K2-24 b,CONFIRMED,16h10m17.69s,242.573719,-24d59m25.2s,-24.990331,20.88526,,,4.264,7.07,0.631,5717,4.16,,1.51
263,EPIC 203776696.01,K2-52 b,CONFIRMED,16h26m26.74s,246.611416,-24d58m11.8s,-24.969948,3.53482,,,6.81,11.1,0.99,6113,4.14,,1.49
266,EPIC 203826436.02,K2-37 d,CONFIRMED,16h13m48.24s,243.451011,-24d47m13.4s,-24.787062,14.0919,,,2.71,2.59,0.231,5512,4.51,,0.87
268,EPIC 203826436.03,K2-37 b,CONFIRMED,16h13m48.24s,243.451011,-24d47m13.4s,-24.787062,4.44118,,,1.74,1.66,0.148,5512,4.51,,0.87
271,EPIC 203826436.01,K2-37 c,CONFIRMED,16h13m48.24s,243.451011,-24d47m13.4s,-24.787062,6.43032491,,,,,,,,,
273,EPIC 203867512.01,,CANDIDATE,16h52m59.36s,253.247321,-24d37m34.5s,-24.626258,28.465633,,,0.1642,18.4,1.642,5700,,,0.96
274,EPIC 203929178.01,,CANDIDATE,16h49m41.45s,252.422716,-24d22m25.7s,-24.373808,1.153886,,,53,99,8.8,6841,4.09,,1.8
275,EPIC 203942067.01,,CANDIDATE,16h15m17.87s,243.824471,-24d19m09.2s,-24.319228,1.6398934,,,0.4392,33,2.944,5175,,,0.79
277,EPIC 204057095.01,,CANDIDATE,16h11m00.76s,242.753167,-23d50m25.3s,-23.840353,23.210585,,,0.06981,5.7,0.509,5244,,,0.81
280,EPIC 204129699.01,K2-31 b,CONFIRMED,16h21m45.78s,245.440751,-23d32m52.3s,-23.547865,1.2578332,,,,,,,,,
281,EPIC 204221263.01,K2-38 c,CONFIRMED,16h00m08.06s,240.033579,-23d11m21.4s,-23.189288,10.56098,,,1.95,2.41,0.215,5758,4.36,,1.12
282,EPIC 204221263.02,K2-38 b,CONFIRMED,16h00m08.06s,240.033579,-23d11m21.4s,-23.189288,4.01628,,,1.329,1.64,0.146,5758,4.36,,1.12
283,EPIC 204312847.01,,CANDIDATE,16h41m39.29s,250.413702,-22d49m42.4s,-22.828453,24.193613,,,0.3778,30.7,2.739,5457,,,0.87
284,EPIC 204346718.01,,CANDIDATE,16h21m16.81s,245.320059,-22d41m36.7s,-22.693525,0.64292573,,,,,,,,,
285,EPIC 204489514.01,,CANDIDATE,16h03m01.62s,240.756735,-22d07m52.4s,-22.131222,10.2236,,,61,132,11.8,6960,4.05,,2.04
286,EPIC 204576757.01,,CANDIDATE,16h28m37.83s,247.157608,-21d46m03.0s,-21.767505,23.277669,,,0.4569,32.8,2.926,4379,,,0.68
287,EPIC 204649811.01,,CANDIDATE,16h19m16.97s,244.820688,-21d27m36.1s,-21.460025,2.64594828,,,,,,,,,
289,EPIC 204658292.01,,CANDIDATE,16h14m49.65s,243.706874,-21d25m25.1s,-21.42363,20.98296043,,,,,,,,,
290,EPIC 204676499.01,,CANDIDATE,16h23m15.34s,245.813907,-21d20m45.9s,-21.346094,1.5271792,,,,,,,,,
291,EPIC 204750116.01,,CANDIDATE,15h55m16.73s,238.819727,-21d01m36.6s,-21.026837,23.446501,,,0.02578,2.71,0.242,5484,,,0.87
292,EPIC 204763194.01,,CANDIDATE,15h59m46.05s,239.941862,-20d58m11.7s,-20.969925,2.32046168,,,,,,,,,
294,EPIC 204884005.01,,CANDIDATE,16h37m19.55s,249.331459,-20d25m42.2s,-20.428377,46.40651,,,0.03779,3.35,0.299,4812,,,0.73
295,EPIC 204888276.01,,CANDIDATE,15h59m59.44s,239.997679,-20d24m32.5s,-20.409026,16.563155,,,0.02876,1.66,0.148,3669,,,0.48
296,EPIC 204890128.01,K2-53 b,CONFIRMED,16h16m34.03s,244.141811,-20d24m01.9s,-20.400533,12.2091165,,,,,,,,,
299,EPIC 204914585.01,,CANDIDATE,16h08m13.91s,242.057956,-20d17m18.2s,-20.288393,18.357773,,,0.01924,1.74,0.155,4937,,,0.75
301,EPIC 205029914.01,,CANDIDATE,16h36m06.07s,249.025271,-19d44m40.7s,-19.744626,4.98049071,,,,,,,,,
303,EPIC 205040048.01,,CANDIDATE,16h08m40.44s,242.168495,-19d41m45.0s,-19.695844,3.3055191,,,0.03401,1.27,0.113,3430,,,0.35
304,EPIC 205047565.01,,CANDIDATE,16h40m10.49s,250.043704,-19d39m33.0s,-19.659177,14.5444413,,,,,,,,,
305,EPIC 205050711.01,,CANDIDATE,16h50m39.27s,252.663617,-19d38m38.2s,-19.643932,4.30221683,,,,,,,,,
308,EPIC 205064326.01,,CANDIDATE,16h47m33.22s,251.888433,-19d34m45.5s,-19.579313,8.02678456,,,,,,,,,
310,EPIC 205071984.02,K2-32 d,CONFIRMED,16h49m42.26s,252.426083,-19d32m34.2s,-19.542821,31.7154,,,3.71,3.77,0.336,5428,4.45,,0.92
311,EPIC 205071984.01,K2-32 b,CONFIRMED,16h49m42.26s,252.426083,-19d32m34.2s,-19.542821,8.99002105,,,,,,,,,
