rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,ra,dec_str,dec,st_dist,st_teff,st_mass,st_rad,rowupdate,pl_name,pl_rvamp,pl_eqt,pl_insol,pl_bmassprov,pl_bmassj,pl_bmasse,pl_dens,pl_radj,pl_rade,pl_rads,pl_def_reflink,pl_disc,pl_disc_reflink,pl_locale,pl_facility,pl_telescope,pl_instrument,st_rah,st_glon,st_glat,st_elon,st_elat,st_plx,st_radv,st_sp,st_spstr,st_age
21,47 UMa,c,Radial Velocity,3,2391,3.6,0.098,,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,5892,1.03,1.23,14/5/14,47 UMa c,8,,,Msini,0.54,171.621,,,,,<a href=http://adsabs.harvard.edu/abs/2010MNRAS.403..731G target=ref> Gregory &amp; Fischer 2010 </a>,2001,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2002ApJ...564.1028F target=ref> Fischer et al. 2002 </a>,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,10.99110413,175.782531,63.369127,149.069855,31.061608,71.04,11.1,4,G0 V,7.3
22,47 UMa,d,Radial Velocity,3,14002,11.6,0.16,,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,5892,1.03,1.23,14/5/14,47 UMa d,13.8,,,Msini,1.64,521.22,,,,,<a href=http://adsabs.harvard.edu/abs/2010MNRAS.403..731G target=ref> Gregory &amp; Fischer 2010 </a>,2009,<a href=http://adsabs.harvard.edu/abs/2010MNRAS.403..731G target=ref> Gregory &amp; Fischer 2010 </a>,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,10.99110413,175.782531,63.369127,149.069855,31.061608,71.04,11.1,4,G0 V,7.3
23,51 Eri,b,Imaging,1,,13.2,,,0,0,0,04h37m36.13s,69.400551,-02d28m24.8s,-2.473548,29.4,,1.75,,15/8/14,51 Eri b,,700,,Mass,2,635.66,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015Sci...350...64M target=ref>Macintosh et al. 2015</a>,2015,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015Sci...350...64M target=ref>Macintosh et al. 2015</a>,Ground,Gemini Observatory,8.19 m Gemini South Telescope,Gemini Planet Imager,4.62670339,198.61262,-30.657612,67.313442,-24.305028,,17.3,3,F0 IV,0.02
24,51 Peg,b,Radial Velocity,1,4.230785,0.0527,0.013,,0,0,0,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,15.36,5793,1.12,1.2,14/5/14,51 Peg b,55.94,,,Msini,0.472,150.009,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...646..505B target=ref> Butler et al. 2006 </a>,1995,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=1995Natur.378..355M target=ref> Mayor & Queloz 1995 </a>,Ground,Haute-Provence Observatory,1.93 m Telescope,ELODIE Spectrograph,22.95777181,90.062611,-34.727214,354.284094,25.186477,65.1,-33.25,4.25,G2.5 IV,4
25,55 Cnc,b,Radial Velocity,5,14.65152,0.115227,0.0034,90,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,5196,0.91,0.94,14/10/29,55 Cnc b,71.4,,,Mass,0.8306,263.9785,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015MNRAS.446.1493B target=ref>Baluev 2015</a>,1996,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=1997ApJ...474L.115B target=ref> Butler et al. 1997 </a>,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,8.87661438,196.794709,37.698968,127.732452,10.367085,79.8,27.4,4.8,G8 V,10.2
26,55 Cnc,c,Radial Velocity,5,44.4175,0.241376,0.02,90,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,5196,0.91,0.94,14/10/29,55 Cnc c,10.18,,,Mass,0.1714,54.4738,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015MNRAS.446.1493B target=ref>Baluev 2015</a>,2004,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2004ApJ...614L..81M target=ref> McArthur et al. 2004 </a>,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,8.87661438,196.794709,37.698968,127.732452,10.367085,79.8,27.4,4.8,G8 V,10.2
27,55 Cnc,d,Radial Velocity,5,4825,5.503,0.019,90,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,5196,0.91,0.94,14/10/29,55 Cnc d,48.29,,,Mass,3.878,1232.493,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015MNRAS.446.1493B target=ref>Baluev 2015</a>,2002,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2002ApJ...581.1375M target=ref> Marcy et al. 2002 </a>,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,8.87661438,196.794709,37.698968,127.732452,10.367085,79.8,27.4,4.8,G8 V,10.2
28,55 Cnc,e,Radial Velocity,5,0.736539,0.01544,,83.3,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,5196,0.91,0.94,16/7/7,55 Cnc e,,,,Mass,0.02542,8.08,6.4,0.17,1.91,0.018,<a href=http://adsabs.harvard.edu/abs/2016Natur.532..207D target=ref>Demory et al. 2016</a>,2004,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2004ApJ...614L..81M target=ref> McArthur et al. 2004 </a>,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,8.87661438,196.794709,37.698968,127.732452,10.367085,79.8,27.4,4.8,G8 V,10.2
29,55 Cnc,f,Radial Velocity,5,262,0.788,0.305,90,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,5196,0.91,0.94,14/10/29,55 Cnc f,4.87,,,Mass,0.141,44.812,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015MNRAS.446.1493B target=ref>Baluev 2015</a>,2007,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008ApJ...675..790F target=ref> Fischer et al. 2008 </a>,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,8.87661438,196.794709,37.698968,127.732452,10.367085,79.8,27.4,4.8,G8 V,10.2
30,6 Lyn,b,Radial Velocity,1,874.774,2.18,0.125,,0,0,0,06h30m47.11s,97.696281,+58d09m45.5s,58.162632,56.95,4978,1.7,5.2,15/9/3,6 Lyn b,31.53,,,Msini,2.21,702.4043,,,,,<a href=http://adsabs.harvard.edu/abs/2010ApJ...709..396B target=ref> Bowler et al. 2010 </a>,2008,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008PASJ...60.1317S target=ref> Sato et al. 2008 </a>,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,6.51308543,156.971465,20.189874,94.938691,34.855212,17.56,,5,K0 III-IV,
31,61 Vir,b,Radial Velocity,3,4.215,0.050201,0.12,,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,5577,0.94,0.96,14/5/14,61 Vir b,2.12,,,Msini,0.016,5.1,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...708.1366V target=ref> Vogt et al. 2010 </a>,2009,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...708.1366V target=ref> Vogt et al. 2010 </a>,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,13.30675456,311.859025,44.092637,205.0072,-9.297809,117.3,-8.2,4.5,G5 V,8.96
